trace_seed,repeat_index,paired_key,candidate,reference,prompt_class,metric,run_statistic,candidate_ms,reference_ms,delta_ms,delta_percent
101,0,seed101-rep0,aged_short_prompt,baseline,short,queue_wait_ms,mean,7.80389715,33.8408947,-26.03699755,-76.93944791004596
101,0,seed101-rep0,aged_short_prompt,baseline,short,queue_wait_ms,median,0.0318635,29.4346565,-29.402793,-99.89174835452894
101,0,seed101-rep0,aged_short_prompt,baseline,short,e2e_latency_ms,mean,8571.2882642,9033.1033049,-461.8150406999994,-5.112473810074642
101,0,seed101-rep0,aged_short_prompt,baseline,short,e2e_latency_ms,median,8461.7000445,8715.096765,-253.3967205000008,-2.9075606081351504
101,0,seed101-rep0,aged_short_prompt,baseline,medium,ttft_ms,mean,76.9064529,103.01784385,-26.11139095,-25.346473944863096
101,0,seed101-rep0,aged_short_prompt,baseline,medium,ttft_ms,median,58.703742000000005,66.1974415,-7.493699499999991,-11.32022526882703
101,0,seed101-rep0,aged_short_prompt,baseline,medium,queue_wait_ms,mean,38.85571015,67.4238671,-28.568156949999995,-42.37098549632137
101,0,seed101-rep0,aged_short_prompt,baseline,medium,queue_wait_ms,median,26.070425,27.4070255,-1.3366004999999994,-4.87685356442639
101,0,seed101-rep0,aged_short_prompt,baseline,medium,e2e_latency_ms,mean,10382.4329153,10646.36025585,-263.92734055000074,-2.4790382272192693
101,0,seed101-rep0,aged_short_prompt,baseline,medium,e2e_latency_ms,median,9866.0940095,10154.8468225,-288.75281299999915,-2.8434974751190953
101,0,seed101-rep0,aged_short_prompt,baseline,long,ttft_ms,mean,117.48682875,87.168419,30.31840975,34.78141521644439
101,0,seed101-rep0,aged_short_prompt,baseline,long,ttft_ms,median,88.01942,64.2753565,23.744063499999996,36.94116188993833
101,0,seed101-rep0,aged_short_prompt,baseline,long,ttft_ms,p90,101.34909,101.065296,0.2837940000000003,0.2808026209115346
101,0,seed101-rep0,aged_short_prompt,baseline,long,ttft_ms,p95,111.586666,102.087334,9.499331999999995,9.305103412730903
101,0,seed101-rep0,aged_short_prompt,baseline,long,ttft_ms,max,714.738446,518.127065,196.61138099999994,37.94655679683514
101,0,seed101-rep0,aged_short_prompt,baseline,long,queue_wait_ms,mean,79.14659505,50.63142895,28.515166100000002,56.31910197154331
101,0,seed101-rep0,aged_short_prompt,baseline,long,queue_wait_ms,median,51.856488,26.007312499999998,25.8491755,99.39195178279188
101,0,seed101-rep0,aged_short_prompt,baseline,long,queue_wait_ms,p90,56.637225,61.904125,-5.2669,-8.508156766612887
101,0,seed101-rep0,aged_short_prompt,baseline,long,queue_wait_ms,p95,63.280863,64.565458,-1.2845950000000101,-1.9896010030626747
101,0,seed101-rep0,aged_short_prompt,baseline,long,queue_wait_ms,max,676.538152,479.752846,196.785306,41.018059119549235
101,0,seed101-rep0,aged_short_prompt,baseline,long,e2e_latency_ms,mean,7673.211353250001,7592.391656,80.8196972500009,1.064482720489425
101,0,seed101-rep0,aged_short_prompt,baseline,long,e2e_latency_ms,median,7181.9754405,7055.034470500001,126.94096999999965,1.7992962405894972
101,0,seed101-rep0,aged_short_prompt,baseline,long,e2e_latency_ms,p90,13209.376408,12850.852339,358.52406900000096,2.789885523094415
101,0,seed101-rep0,aged_short_prompt,baseline,long,e2e_latency_ms,p95,14695.56891,14595.988488,99.58042199999909,0.6822451393536553
101,0,seed101-rep0,aged_short_prompt,baseline,long,e2e_latency_ms,max,16122.139722,16063.650998,58.48872400000073,0.3641060429368321
101,0,seed101-rep0,aged_short_prompt,short_prompt,overall,ttft_ms,mean,79.04265106666666,88.53208971666666,-9.489438649999997,-10.718643014492809
101,0,seed101-rep0,aged_short_prompt,short_prompt,overall,ttft_ms,median,62.7512585,65.8756105,-3.1243519999999947,-4.742805381667005
101,0,seed101-rep0,aged_short_prompt,short_prompt,overall,queue_wait_ms,mean,41.93540078333333,48.96201811666666,-7.026617333333334,-14.351159538788444
101,0,seed101-rep0,aged_short_prompt,short_prompt,overall,queue_wait_ms,median,26.129607,27.556378000000002,-1.4267710000000022,-5.177643447916131
101,0,seed101-rep0,aged_short_prompt,short_prompt,overall,e2e_latency_ms,mean,8875.644177583334,9149.0952418,-273.45106421666605,-2.9888317586566853
101,0,seed101-rep0,aged_short_prompt,short_prompt,overall,e2e_latency_ms,median,8965.0455195,9335.883458,-370.83793850000075,-3.972178317866923
101,0,seed101-rep0,aged_short_prompt,short_prompt,short,ttft_ms,mean,42.73467155,52.31699189999999,-9.58232034999999,-18.31588553163736
101,0,seed101-rep0,aged_short_prompt,short_prompt,short,ttft_ms,median,37.8050525,44.796304,-6.991251499999997,-15.60675965588589
101,0,seed101-rep0,aged_short_prompt,short_prompt,short,queue_wait_ms,mean,7.80389715,13.9308446,-6.12694745,-43.981162850671666
101,0,seed101-rep0,aged_short_prompt,short_prompt,short,queue_wait_ms,median,0.0318635,0.0324085,-0.0005449999999999969,-1.681657589829819
101,0,seed101-rep0,aged_short_prompt,short_prompt,short,e2e_latency_ms,mean,8571.2882642,8841.34586485,-270.0576006499996,-3.0544851969161293
101,0,seed101-rep0,aged_short_prompt,short_prompt,short,e2e_latency_ms,median,8461.7000445,8809.751475500001,-348.0514310000017,-3.9507519816868375
101,0,seed101-rep0,aged_short_prompt,short_prompt,medium,ttft_ms,mean,76.9064529,85.5301928,-8.62373989999999,-10.082684976713848
101,0,seed101-rep0,aged_short_prompt,short_prompt,medium,ttft_ms,median,58.703742000000005,62.019291,-3.315548999999997,-5.345996296539406
101,0,seed101-rep0,aged_short_prompt,short_prompt,medium,queue_wait_ms,mean,38.85571015,45.5581351,-6.702424950000001,-14.711807090628696
101,0,seed101-rep0,aged_short_prompt,short_prompt,medium,queue_wait_ms,median,26.070425,25.906424,0.16400099999999895,0.6330514778882602
101,0,seed101-rep0,aged_short_prompt,short_prompt,medium,e2e_latency_ms,mean,10382.4329153,10694.341681150001,-311.90876585000115,-2.916577524353612
