policy,prompt_class,metric,pooled_n,pooled_mean,pooled_median,pooled_sd,pooled_min,pooled_max,pooled_p90_nearest_rank,pooled_p95_nearest_rank,run_mean_n,run_mean_mean,run_mean_median,run_mean_sd,run_mean_min,run_mean_max,run_mean_p90_nearest_rank,run_mean_p95_nearest_rank,run_median_n,run_median_mean,run_median_median,run_median_sd,run_median_min,run_median_max,run_median_p90_nearest_rank,run_median_p95_nearest_rank
baseline,long,queue_wait_ms,300,53.91652489,27.916960500000002,123.41982276390766,0.019194,1073.642408,60.769674,111.046268,15,53.91652489,49.093301600000004,23.321282157492753,22.0152706,105.7242393,,,15,28.988192,27.5726765,5.847704037209477,22.416339999999998,48.986720500000004,,
baseline,long,e2e_latency_ms,300,8751.369677323333,8847.908790500001,4187.041561371603,492.790987,18273.511645,14548.482644,15830.301501,15,8751.369677323333,8734.3487483,1277.3792555124066,7047.7726094,11169.84493365,,,15,8532.5815791,8187.8983345,1699.2669643782285,6531.668245,11575.081696000001,,
short_prompt,overall,ttft_ms,900,84.77578165333333,64.98105050000001,114.140430185103,23.830199,1101.77754,100.197734,109.381455,15,84.77578165333333,84.25376336666666,11.673312306648128,57.11510941666667,104.256249,,,15,65.2470633,65.8756105,4.377796314130117,57.6680875,71.57840049999999,,
short_prompt,overall,queue_wait_ms,900,46.94225419777778,26.735291500000002,113.4408156231264,0.014107,1057.568502,56.968021,64.10659,15,46.94225419777777,48.37007713333333,9.90828500620889,23.5065427,63.54399111666667,,,15,26.643688033333333,26.514563,1.415433445611607,23.1994245,29.1489875,,
short_prompt,overall,e2e_latency_ms,900,9027.648083432223,9159.4849825,4399.695796875325,418.827194,17648.4936,14966.893623,15709.700126,15,9027.648083432223,9080.891759033335,485.476412411669,7531.281425133333,9750.8447933,,,15,9167.456639733335,9227.2169245,504.37572183538936,7623.717279500001,9913.6579605,,
short_prompt,short,ttft_ms,300,57.92068668333334,42.319587,69.53655276635254,23.830199,719.691091,76.995199,95.207215,15,57.92068668333333,53.4181703,14.617116649945428,41.70950045,93.6787369,,,15,42.25510906666667,41.715438000000006,3.207660359843091,36.9212905,47.795139,,
short_prompt,short,queue_wait_ms,300,20.841785243333334,0.0306225,69.05425689049862,0.014107,679.942811,31.841766,55.623876,15,20.841785243333334,14.8720059,13.68901400909534,7.63645345,55.27588065,,,15,0.034632666666666666,0.0312085,0.00800807474112997,0.028228,0.054955500000000004,,
short_prompt,short,e2e_latency_ms,300,8338.91167598,7966.616729,4399.64939261603,418.827194,16252.728246,14511.05685,15522.727055,15,8338.91167598,8691.892646,1467.60629433685,5451.7642208,9980.5638593,,,15,7915.9905192666665,8615.6878465,1902.5170106324942,4587.2892465,9988.285907,,
short_prompt,medium,ttft_ms,300,72.41198637000001,63.2831435,57.46002590322647,25.992916,584.220816,95.476874,104.626101,15,72.41198637000001,69.3870629,11.936734645360737,55.56999605,99.02176435,,,15,63.74682283333333,62.197728,4.357989325382395,55.7839605,71.50434150000001,,
short_prompt,medium,queue_wait_ms,300,34.131033349999996,26.04494,56.43274782799239,0.017183,547.821206,54.553039,60.671152,15,34.13103335,31.836832249999997,9.971278126200017,19.74800685,53.95160945,,,15,26.414026533333335,26.02982,1.6242560325070423,22.9780785,29.7131185,,
short_prompt,medium,e2e_latency_ms,300,9759.5129306,10076.296805,4510.67302498156,949.924052,16973.713046,15232.477132,15670.406544,15,9759.5129306,10157.81976075,1003.5012119156405,8439.540451550001,10996.1263523,,,15,10191.665793266668,10177.1841575,565.8304273483591,8720.510395,11309.453394,,
short_prompt,long,ttft_ms,300,123.99467190666668,88.335679,169.15679802956694,29.534171,1101.77754,106.470284,504.403172,15,123.99467190666665,123.51457129999999,20.136930608772442,71.70801075,167.18991225,,,15,89.06696196666667,90.416477,4.144710739631422,78.10402350000001,95.51087150000001,,
short_prompt,long,queue_wait_ms,300,85.853944,52.2596925,168.43995035396833,0.02304,1057.568502,61.047268,475.567638,15,85.853944,85.5462117,18.532467928606863,38.0952946,125.75539470000001,,,15,52.67168693333333,52.5645875,2.442653408092445,45.501587,56.22356,,
short_prompt,long,e2e_latency_ms,300,8984.519643716667,8953.1115145,4181.28397401769,486.676942,17648.4936,14740.563419,16131.508967,15,8984.519643716667,8885.64193915,1150.148928411708,7679.8573579,11151.06637665,,,15,8730.608264766666,8357.3200995,1462.0350938697804,7165.472315000001,11468.022818,,
